User,Activity Type,Start,Distance,Time,Avg Speed(Avg Pace),Max Speed(Best Pace),Elevation Gain,Calories,Avg HR,Max HR,Start_Formatted,
A,Running,"Thu, 21 Apr 2016 6:33 PM",4.34,38:03:00,08:46,05:04,80,507,NA,NA,21/04/2016 18:33,
A,Running,"Thu, 14 Apr 2016 6:32 PM",5.44,53:52:00,09:55,05:12,151,631,NA,NA,14/04/2016 18:32,
A,Running,"Thu, 7 Apr 2016 6:32 PM",5.54,52:20:00,09:26,05:38,79,645,NA,NA,07/04/2016 18:32,
A,Running,"Thu, 31 Mar 2016 5:36 PM",1.41,13:24,09:29,08:02,24,168,NA,NA,31/03/2016 17:36,
A,Running,"Tue, 15 Mar 2016 1:03 PM",1.02,06:41,06:33,07:28,6,86,NA,NA,15/03/2016 13:03,
A,Running,"Tue, 15 Mar 2016 12:34 PM",1.8,15:45,08:45,06:32,9,203,NA,NA,15/03/2016 12:34,
A,Running,"Thu, 10 Mar 2016 6:33 PM",7.12,01:10:34,09:55,04:32,188,821,NA,NA,10/03/2016 18:33,
A,Running,"Thu, 3 Mar 2016 6:42 PM",3.67,50:15:00,13:41,03:48,69,402,NA,NA,03/03/2016 18:42,
A,Running,"Thu, 25 Feb 2016 6:36 PM",5.22,45:22:00,08:41,04:21,114,617,NA,NA,25/02/2016 18:36,
A,Running,"Thu, 25 Feb 2016 5:39 PM",1.69,15:45,09:20,06:51,26,200,NA,NA,25/02/2016 17:39,
A,Running,"Thu, 18 Feb 2016 6:34 PM",7.35,01:12:26,09:51,03:16,113,849,NA,NA,18/02/2016 18:34,
A,Running,"Thu, 11 Feb 2016 6:32 PM",7.61,01:23:47,11:01,04:04,300,843,NA,NA,11/02/2016 18:32,
A,Running,"Sat, 6 Feb 2016 10:13 PM",1.28,27:09:00,21:16,16:43,174,106,NA,NA,06/02/2016 22:13,
A,Running,"Thu, 4 Feb 2016 8:13 PM",1.56,16:35,10:39,04:38,42,159,NA,NA,04/02/2016 20:13,
A,Running,"Thu, 4 Feb 2016 6:33 PM",5.61,01:07:25,12:01,04:17,61,604,NA,NA,04/02/2016 18:33,
A,Running,"Thu, 4 Feb 2016 5:35 PM",1.67,17:11,10:18,08:27,26,184,NA,NA,04/02/2016 17:35,
A,Running,"Thu, 28 Jan 2016 6:40 PM",5.89,01:00:13,10:14,04:00,82,668,NA,NA,28/01/2016 18:40,
A,Running,"Thu, 28 Jan 2016 5:12 PM",1.64,17:28,10:41,07:25,29,188,NA,NA,28/01/2016 17:12,
A,Running,"Thu, 21 Jan 2016 6:32 PM",6.16,01:00:27,09:49,07:39,59,705,NA,NA,21/01/2016 18:32,
A,Running,"Thu, 21 Jan 2016 5:45 PM",1.69,17:33,10:23,08:23,25,187,NA,NA,21/01/2016 17:45,
A,Running,"Tue, 19 Jan 2016 1:58 PM",1.95,19:09,09:51,07:09,58,221,NA,NA,19/01/2016 13:58,
A,Running,"Tue, 19 Jan 2016 1:07 PM",0.33,03:33,10:37,08:35,1,39,NA,NA,19/01/2016 13:07,
A,Running,"Tue, 19 Jan 2016 12:37 PM",2.1,20:11,09:36,07:27,10,223,NA,NA,19/01/2016 12:37,
A,Running,"Thu, 14 Jan 2016 6:33 PM",5.06,46:02:00,09:06,04:54,227,578,NA,NA,14/01/2016 18:33,
A,Running,"Thu, 14 Jan 2016 5:35 PM",1.66,16:43,10:03,08:03,29,188,NA,NA,14/01/2016 17:35,
A,Running,"Thu, 7 Jan 2016 6:33 PM",5.46,54:40:00,10:01,07:20,69,635,NA,NA,07/01/2016 18:33,
A,Running,"Thu, 7 Jan 2016 5:29 PM",1.65,15:04,09:07,06:22,27,191,NA,NA,07/01/2016 17:29,
A,Running,"Sun, 3 Jan 2016 10:15 AM",2.12,22:54,10:49,07:50,195,230,NA,NA,03/01/2016 10:15,
A,Hiking,"Fri, 1 Jan 2016 1:18 PM",1.96,44:42:00,22:50,12:02,30,163,NA,NA,01/01/2016 13:18,
A,Hiking,"Fri, 1 Jan 2016 10:30 AM",4.09,01:39:06,24:15:00,08:49,220,331,NA,NA,01/01/2016 10:30,
A,Trail Running,"Thu, 31 Dec 2015 10:17 AM",2.25,57:05:00,25:21:00,05:52,183,173,NA,NA,31/12/2015 10:17,
A,Hiking,"Wed, 30 Dec 2015 3:20 PM",1.12,32:41:00,29:17:00,14:27,125,78,NA,NA,30/12/2015 15:20,
B,Running,"Thu, Mar 26, 2015 7:18 PM",7.12,31:08:00,04:22,02:53,165,444,86,96,26/03/2015 19:18,
B,Running,"Thu, Mar 26, 2015 6:55 PM",1.87,10:50,05:47,03:53,55,82,75,94,26/03/2015 18:55,
B,Running,"Wed, Mar 25, 2015 8:26 PM",2.11,10:41,05:04,04:10,NA,121,72,77,25/03/2015 20:26,
B,Running,"Wed, Mar 25, 2015 6:44 PM",3.69,17:54,04:51,01:29,77,241,80,88,25/03/2015 18:44,
B,Running,"Sun, Mar 22, 2015 7:57 AM",8.45,51:31:00,06:06,03:53,200,582,NA,NA,22/03/2015 07:57,
B,Running,"Sat, Mar 21, 2015 9:09 AM",14.94,01:32:30,06:11,03:36,366,797,68,91,21/03/2015 09:09,
B,Running,"Thu, Mar 19, 2015 7:58 PM",1.06,08:13,07:44,:56,10,59,59,74,19/03/2015 19:58,
B,Running,"Thu, Mar 19, 2015 7:28 PM",4.98,17:18,03:29,02:33,44,278,91,97,19/03/2015 19:28,
B,Running,"Thu, Mar 19, 2015 6:59 PM",2.01,09:50,04:53,03:08,26,123,85,93,19/03/2015 18:59,
B,Running,"Wed, Mar 18, 2015 7:02 PM",4.16,21:28,05:10,03:13,21,261,72,84,18/03/2015 19:02,
B,Running,"Thu, Mar 12, 2015 8:03 PM",0.72,07:56,11:04,06:44,67,78,64,67,12/03/2015 20:03,
B,Running,"Thu, Mar 12, 2015 7:17 PM",8.77,38:25:00,04:23,02:45,179,559,86,97,12/03/2015 19:17,
B,Running,"Thu, Mar 12, 2015 6:51 PM",1.87,10:48,05:47,04:07,19,79,68,88,12/03/2015 18:51,
B,Running,"Wed, Mar 11, 2015 7:02 PM",4.31,23:07,05:21,04:13,71,295,73,89,11/03/2015 19:02,
B,Running,"Thu, May 14, 2015 7:22 AM",6.59,35:22:00,05:22,03:50,137,448,78,98,14/05/2015 07:22,
B,Running,"Sat, May 9, 2015 8:16 AM",6.7,48:14:00,07:12,04:24,90,478,68,96,09/05/2015 08:16,
B,Running,"Sat, May 2, 2015 12:38 PM",24.01,02:41:22,06:43,03:06,389,"1,518",71,119,02/05/2015 12:38,
B,Running,"Thu, Apr 30, 2015 7:27 PM",7.53,36:00:00,04:47,02:36,33,520,86,98,30/04/2015 19:27,
B,Running,"Thu, Apr 30, 2015 7:18 PM",1.37,07:27,05:25,03:23,33,84,81,96,30/04/2015 19:18,
B,Running,"Mon, Apr 27, 2015 6:20 PM",6.31,39:15:00,06:13,:44,182,402,73,94,27/04/2015 18:20,
B,Running,"Thu, Apr 23, 2015 7:17 PM",8.52,42:19:00,04:58,02:37,109,526,82,96,23/04/2015 19:17,
B,Running,"Sat, Apr 18, 2015 8:47 AM",25.19,02:05:27,04:59,03:29,261,"1,487",78,87,18/04/2015 08:47,
B,Running,"Thu, Apr 16, 2015 7:23 PM",5.79,25:08:00,04:20,02:34,121,369,89,99,16/04/2015 19:23,
B,Running,"Thu, Apr 16, 2015 7:12 PM",1.39,06:25,04:37,03:01,40,79,82,89,16/04/2015 19:12,
B,Running,"Wed, Apr 15, 2015 7:00 PM",4.36,23:55,05:29,03:24,87,287,73,85,15/04/2015 19:00,
B,Running,"Wed, Apr 15, 2015 5:52 PM",6.46,32:40:00,05:03,02:35,310,373,75,85,15/04/2015 17:52,
B,Running,"Wed, Apr 15, 2015 7:13 AM",6.59,32:42:00,04:58,03:56,86,394,75,83,15/04/2015 07:13,
B,Running,"Sun, Apr 12, 2015 9:46 AM",8.03,47:52:00,05:58,03:48,110,451,70,93,12/04/2015 09:46,
B,Running,"Thu, Apr 9, 2015 6:18 PM",8.78,48:04:00,05:28,02:08,230,543,74,88,09/04/2015 18:18,
B,Running,"Wed, Apr 1, 2015 6:53 PM",4.4,23:22,05:19,04:09,74,275,71,80,01/04/2015 18:53,
B,Running,"Wed, Apr 1, 2015 5:43 PM",6.44,31:44:00,04:56,02:37,111,374,73,84,01/04/2015 17:43,
B,Running,"Wed, Apr 1, 2015 7:10 AM",10.58,51:43:00,04:53,03:30,176,637,77,88,01/04/2015 07:10,
B,Running,"Mon, Mar 30, 2015 5:46 PM",10.87,59:41:00,05:29,03:45,230,792,NA,NA,30/03/2015 17:46,
B,Running,"Mon, Mar 30, 2015 5:38 PM",0.87,04:43,05:25,04:01,7,68,NA,NA,30/03/2015 17:38,
B,Running,"Wed, Jun 17, 2015 4:44 PM",6.45,31:55:00,04:57,01:02,167,363,73,82,17/06/2015 16:44,
B,Running,"Wed, Jun 17, 2015 6:53 AM",6.53,32:52:00,05:02,01:56,120,350,72,83,17/06/2015 06:53,
B,Running,"Tue, Jun 16, 2015 7:35 PM",1.13,03:50,03:24,03:03,9,47,91,108,16/06/2015 19:35,
B,Running,"Wed, Jun 10, 2015 8:03 AM",7.49,02:44:42,21:59,03:52,770,438,NA,NA,10/06/2015 08:03,
B,Running,"Tue, Jun 9, 2015 8:31 AM",18.12,04:24:51,14:37,04:01,"1,047","1,094",NA,NA,09/06/2015 08:31,
B,Running,"Mon, Jun 8, 2015 2:34 PM",7.83,02:24:26,18:26,04:32,264,408,NA,NA,08/06/2015 14:34,
B,Running,"Thu, Jun 4, 2015 7:16 PM",3.11,17:51,05:44,02:24,12,210,80,95,04/06/2015 19:16,
B,Running,"Thu, Jun 4, 2015 7:10 PM",0.71,05:49,08:14,02:39,5,54,69,93,04/06/2015 19:10,
B,Running,"Thu, Jun 4, 2015 6:48 PM",1.22,18:57,15:35,03:48,32,106,57,84,04/06/2015 18:48,
B,Running,"Sat, May 30, 2015 2:18 PM",2.05,08:05,03:57,03:19,6,110,84,87,30/05/2015 14:18,
B,Running,"Thu, May 28, 2015 7:10 PM",6.65,31:20:00,04:43,02:34,31,378,87,101,28/05/2015 19:10,
B,Running,"Thu, May 28, 2015 7:05 PM",0.77,03:53,05:02,02:46,3,38,84,93,28/05/2015 19:05,
B,Running,"Thu, May 28, 2015 6:37 PM",1.64,09:16,05:40,03:45,29,45,80,93,28/05/2015 18:37,
B,Running,"Wed, May 27, 2015 8:21 PM",1.88,09:24,05:00,03:57,39,98,72,78,27/05/2015 20:21,
